"利用日","利用店名・商品名","利用者","支払区分","利用金額","手数料","支払総額","当月支払金額","翌月以降繰越金額"
"2020/8/1","ﾍﾟｲﾍﾟｲ ﾋﾞｯｸﾞﾖｰｻﾝ","本人*","1回","4910","0","4910","4910","0"
"2020/8/2","ﾍﾟｲﾍﾟｲ ﾗﾗﾎﾟｰﾄﾖｺﾊﾏ","本人*","1回","1089","0","1089","1089","0"
"2020/8/2","ﾍﾟｲﾍﾟｲ ｳｴﾙｼｱｸﾞﾙｰﾌﾟ","本人*","1回","3258","0","3258","3258","0"
"2020/8/2","ﾍﾟｲﾍﾟｲ ﾊﾅﾏﾙ","本人*","1回","649","0","649","649","0"
"2020/8/2","ﾍﾟｲﾍﾟｲ ﾊﾟﾝｺｳﾎﾞｳ ｼﾞｭｰ","本人*","1回","832","0","832","832","0"
"2020/8/2","ﾍﾟｲﾍﾟｲ ﾀﾞｲｿｰ","本人*","1回","220","0","220","220","0"
"2020/8/2","ﾍﾟｲﾍﾟｲ ｱｶﾁｬﾝﾎﾝﾎﾟ","本人*","1回","1845","0","1845","1845","0"
"2020/8/8","ﾍﾟｲﾍﾟｲ ｸﾗｽﾞｼ","本人*","1回","2048","0","2048","2048","0"
"2020/8/12","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","633","0","633","633","0"
"2020/8/12","ﾍﾟｲﾍﾟｲ ﾊﾟﾝｺｳﾎﾞｳ ｼﾞｭｰ","本人*","1回","562","0","562","562","0"
"2020/8/12","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","432","0","432","432","0"
"2020/8/12","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","654","0","654","654","0"
"2020/8/13","ﾍﾟｲﾍﾟｲ ﾁｬｰｼﾞ","本人*","1回","3000","0","3000","3000","0"
"2020/8/13","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","2101","0","2101","2101","0"
"2020/8/14","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","425","0","425","425","0"
"2020/8/14","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","576","0","576","576","0"
"2020/8/14","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","445","0","445","445","0"
"2020/8/14","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","460","0","460","460","0"
"2020/8/15","ﾍﾟｲﾍﾟｲ ﾖｺﾊﾏﾔ","本人*","1回","1947","0","1947","1947","0"
"2020/8/16","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","222","0","222","222","0"
"2020/8/16","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","149","0","149","149","0"
"2020/8/16","ﾍﾟｲﾍﾟｲ ﾊﾟﾝｺｳﾎﾞｳ ｼﾞｭｰ","本人*","1回","1728","0","1728","1728","0"
"2020/8/17","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","779","0","779","779","0"
"2020/8/19","ﾍﾟｲﾍﾟｲ ﾋﾞｯｸﾞﾖｰｻﾝ","本人*","1回","5168","0","5168","5168","0"
"2020/8/19","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","423","0","423","423","0"
"2020/8/20","ﾍﾟｲﾍﾟｲ ﾊﾟﾝｺｳﾎﾞｳ ｼﾞｭｰ","本人*","1回","1318","0","1318","1318","0"
"2020/8/20","ﾍﾟｲﾍﾟｲ ｵｰｹｰ","本人*","1回","1508","0","1508","1508","0"
"2020/8/21","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","2213","0","2213","2213","0"
"2020/8/22","ﾍﾟｲﾍﾟｲ ｸﾗｽﾞｼ","本人*","1回","3047","0","3047","3047","0"
"2020/8/22","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","249","0","249","249","0"
"2020/8/22","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","159","0","159","159","0"
"2020/8/24","ﾍﾟｲﾍﾟｲ ｱｽﾞﾏﾔﾄｳﾌﾃﾝ","本人*","1回","210","0","210","210","0"
"2020/8/29","ﾍﾟｲﾍﾟｲ ﾁｬｰｼﾞ","本人*","1回","5000","0","5000","5000","0"
