"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","9月支払金額","10月繰越残高","新規サイン"
"2020/08/30","ﾌﾞﾛﾝｺﾋﾞﾘ- ｺｳﾎｸﾐﾅ","本人","1回払い","2038","0","2038","2038","0","*"
"2020/08/29","ﾏｸﾄﾞﾅﾙﾄﾞ","本人","1回払い","690","0","690","690","0","*"
"2020/08/26","APPLE COM BILL","家族","1回払い","130","0","130","130","0","*"
"2020/08/25","ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ","家族","1回払い","1100","0","1100","1100","0","*"
"2020/08/25","ｼﾖｳﾜﾀﾞｲｶﾞｸﾖｺﾊﾏｼﾎ","本人","1回払い","1270","0","1270","1270","0","*"
"2020/08/22","ｸﾘｴｲﾄ","家族","1回払い","2150","0","2150","2150","0","*"
"2020/08/22","SUICA MOBILE PAYMENT利用国JPN","家族","1回払い","5000","0","5000","5000","0","*"
"","現地利用額　　　　　　５０００．０００変換レート　　　１．０００円","","","","","","","",""
"2020/08/22","イオンリテール","家族","1回払い","2693","0","2693","2693","0","*"
"2020/08/19","ｶﾂｺｳﾎﾞｳﾜｺｳｱﾕﾐｶﾞｵ","本人","1回払い","320","0","320","320","0","*"
"2020/08/18","ｺｳﾎｸｺｳﾓﾝｸﾘﾆﾂｸ","家族","1回払い","6580","0","6580","6580","0","*"
"2020/08/12","ｺｳﾎｸｺｳﾓﾝｸﾘﾆﾂｸ","家族","1回払い","100220","0","100220","100220","0","*"
"2020/08/10","ﾌｲﾂﾄｹｱﾃﾞﾎﾟ ｻﾌｱ-ﾚ","本人","1回払い","869","0","869","869","0","*"
"2020/08/02","APPLE COM BILL","本人","1回払い","130","0","130","130","0","*"
"2020/08/02","ﾏｸﾄﾞﾅﾙﾄﾞ","本人","1回払い","480","0","480","480","0","*"
"2020/08/02","ポッポ","本人","1回払い","590","0","590","590","0","*"
"2020/07/31","ＡＳＡＨＩネット","本人","1回払い","770","0","770","770","0","*"
