,date,where,whose,totalPayment,info,category,type,cycle,note
0,2020-03-01,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Meo,5433.0,Case,Personal,Amazon,202004,Manually confirmed Amazon Transaction
1,2020-03-01,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Home,768.0,Kid Soap,Kids,Amazon,202004,Manually confirmed Amazon Transaction
2,2020-03-01,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Home,2016.0,Detergent,Household Supplies,Amazon,202004,Manually confirmed Amazon Transaction
3,2020-03-02,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Home,3974.0,Clothes Shelf,Furniture,Amazon,202004,Manually confirmed Amazon Transaction
4,2020-03-02,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Home,1066.0,2L Water Box,Household Supplies,Amazon,202004,Manually confirmed Amazon Transaction
5,2020-03-02,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Home,7404.0,Kid toys,Kids,Amazon,202004,Manually confirmed Amazon Transaction
6,2020-03-05,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Home,3599.0,Shoes shelf,Furniture,Amazon,202004,Manually confirmed Amazon Transaction
7,2020-03-06,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Home,379.0,Mask,Household Supplies,Amazon,202004,Manually confirmed Amazon Transaction
8,2020-03-09,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Meo,1371.0,Monitor stand,Personal,Amazon,202004,Manually confirmed Amazon Transaction
9,2020-03-10,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Home,19149.0,Nancy Fence,Kids,Amazon,202004,Manually confirmed Amazon Transaction
10,2020-03-11,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Vit,1639.0,Umbrela,Personal,Amazon,202004,Manually confirmed Amazon Transaction
11,2020-03-18,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Home,1972.0,Cream,Household Supplies,Amazon,202004,Manually confirmed Amazon Transaction
12,2020-03-18,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Home,1500.0,Bread,Groceries,Amazon,202004,Manually confirmed Amazon Transaction
13,2020-03-19,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Meo,990.0,USB Bluetooth,Personal,Amazon,202004,Manually confirmed Amazon Transaction
