,date,where,whose,totalPayment,info,category,type,cycle,note
0,2020-07-04,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Vit,3592.0,Cavas,Personal,Amazon,202008,Manually confirmed Amazon Transaction
1,2020-07-13,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Home,3150.0,Shampoo,Household Supplies,Amazon,202008,Manually confirmed Amazon Transaction
2,2020-07-14,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Vit,2550.0,Calories Mit,Personal,Amazon,202008,Manually confirmed Amazon Transaction
3,2020-07-15,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Meo,764.0,USB Buffalo,Personal,Amazon,202008,Manually confirmed Amazon Transaction
4,2020-07-15,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Home,63.0,Misc,Household Supplies,Amazon,202008,Manually confirmed Amazon Transaction
5,2020-07-23,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Home,1740.0,Apron Heat Spray,Household Supplies,Amazon,202008,Manually confirmed Amazon Transaction
6,2020-07-24,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Meo,4800.0,Bike Pant,Personal,Amazon,202008,Manually confirmed Amazon Transaction
7,2020-07-24,ＮＴＴ東日本ご利用料金０７月分,Home,3732.0,Internet,Utilities,Amazon,202008,Manually confirmed Amazon Transaction
8,2020-07-31,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Meo,3694.0,Thunderbolt Cable,Personal,Amazon,202008,Manually confirmed Amazon Transaction
9,2020-07-16,AMZN DIGITAL*MV2CJ2EB1 (AMZN.COM/BILL),Meo,108.0,Manga,Entertainment,Amazon,202008,Manually confirmed Amazon Transaction
