,date,where,whose,totalPayment,info,category,type,cycle,note
0,2021-03-01,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Home,1260.0,Washing ball,Household Supplies,Amazon,202104,Manually confirmed Amazon Transaction
1,2021-03-01,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Home,600.0,Green beans,Groceries,Amazon,202104,Manually confirmed Amazon Transaction
2,2021-03-02,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Home,1164.0,DHA pill,Medical,Amazon,202104,Manually confirmed Amazon Transaction
3,2021-03-08,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Home,973.0,Suplement pill,Medical,Amazon,202104,Manually confirmed Amazon Transaction
4,2021-03-17,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Home,2820.0,Shampoo,Household Supplies,Amazon,202104,Manually confirmed Amazon Transaction
5,2021-03-23,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Home,1544.0,Washing ball,Household Supplies,Amazon,202104,Manually confirmed Amazon Transaction
6,2021-03-24,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Home,562.0,Farbic Softerner,Household Supplies,Amazon,202104,Manually confirmed Amazon Transaction
7,2021-03-24,ＮＴＴ東日本ご利用料金０３月分,Home,3300.0,Internet,Utilities,Amazon,202104,Manually confirmed Amazon Transaction
8,2021-03-30,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Home,15223.0,Braun Oral B,Furniture,Amazon,202104,Manually confirmed Amazon Transaction
9,2021-03-30,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Home,1520.0,Mask,Household Supplies,Amazon,202104,Manually confirmed Amazon Transaction
